group	key	中文名	身份/品种	中文描述	关键词
人物	langhua	浪花	浪花	3.5头身Q版，日式少年，黑色短发，草帽，白色背心，墨绿色短裤，透明捕虫盒	草帽、白色背心、墨绿色短裤、捕虫盒、瓢虫装饰
人物	massimo	马西莫	烹饪导师	3.5头身Q版，灰色卷发，翘胡子，白色双排扣厨师服，白色厨师帽，红色领巾	厨师、意大利、灰色卷发、厨师帽、红色领巾、条纹长裤
人物	patty	帕蒂	帕蒂	3.5头身Q版，黑色短发，卡其色游骑兵帽，卡其色制服，高腰工装裤，勋章	游骑兵帽、卡其色制服、工装裤、勋章、黑色短发
人物	joan	琼女士	琼女士	3.5头身Q版，红棕色羊毛卷短发，黄色编织发带，淡黄色窄框眼镜，浅黄色上衣，白色围裙	羊毛卷、编织发带、窄框眼镜、蝴蝶结、猫爪围裙
人物	sally	莎莉	莎莉	3.5头身Q版，粉红色马尾，浅褐色肤色，亮橙色棒球帽，蓝边白色背心，橙色超短裤	粉红色马尾、棒球帽、橙色、白色背心、人字拖
人物	vanya	万尼亚	万尼亚	3.5头身Q版，银白短发，浅蓝色空顶帽，眯眯眼，深灰色钓手背心，蓝色菱格纹高领衫	银白短发、空顶帽、眯眯眼、钓手背心、小鱼胸针
人物	will	威尔	灯塔守卫	3.5头身Q版，灰白波浪短发，浅灰色圈胡胡茬，克莱因蓝色毛衣，白色队长帽	灯塔守卫、灰白波浪短发、克莱因蓝毛衣、队长帽、金色徽章
猫咪	cat_white	白猫	白猫	Q版白色猫咪，极简大圆黑眼，小粉鼻，白色胡须，大三角耳粉色内耳	白猫、纯白、黑色眼睛、粉色耳朵、猫
猫咪	cat_tortie	玳瑁猫	玳瑁猫	Q版玳瑁猫咪，红橙色圆眼，黑橘相间皮毛，额头橘色块，白色嘴圈胸脯，白爪橘尾尖	玳瑁猫、深棕橘色、橙红色眼睛、猫
猫咪	cat_black	黑猫	黑猫	Q版黑色猫咪，极简大圆黑眼，小粉鼻，白色胡须，大三角耳粉色内耳	黑猫、纯黑、粉色耳朵、猫
猫咪	cat_tabby	虎斑猫	虎斑猫	Q版虎斑猫咪，灰褐底色深色条纹斑点，深蓝大眼傲娇半睁，浅色口吻肚子，短圆四肢	虎斑猫、条纹、灰棕色、蓝色眼睛、猫
猫咪	cat_golden	金渐层	金渐层	Q版金渐层猫咪，杏金色渐变皮毛，深灰半睁大眼奶凶高冷，黑色眼线，浅奶油色口吻腹部	金渐层、英短、金橘色、圆脸、猫
猫咪	cat_orange	橘猫	橘猫	Q版橘色猫咪，金橙色深橙条纹M型额纹，琥珀色大眼好奇呆萌，白色胸口肚子爪子，圆润肉嘟嘟	橘猫、虎斑、金色眼睛、白色腹部、猫
猫咪	cat_calico	三花猫	三花猫	Q版三花猫咪，白橘黑三色补丁花纹，深蓝大眼好奇灵动，粉色鼻和内耳，白色胸口肚子四肢	三花猫、白橘棕、蓝色眼睛、猫
猫咪	cat_siamese	暹罗猫	暹罗猫	Q版暹罗猫咪，奶油色身体深巧克力色重点色，湖蓝色大圆眼呆萌，面罩花纹自然晕染	暹罗猫、重点色、奶白色、青绿色眼睛、猫
猫咪	cat_silver	银渐层	银渐层	Q版银渐层猫咪，银白色渐变烟灰背部，半睁大眼厌世丧脸，浓重黑眼线深墨绿瞳，白色腹部	银渐层、英短、银灰色、圆脸、猫
狗狗	dog_dalmatian	斑点狗	斑点狗	Q版斑点狗幼犬，纯白底色黑色斑点，大棕色水汪汪眼睛，左眼黑色眼圈，下垂圆耳	斑点狗、达尔马提亚、黑白斑点、圆点、狗
狗狗	dog_beagle	比格犬	比格犬	Q版比格犬幼犬，三色花纹，棕色头部白色条纹，黑色马鞍色块，白色四肢，下垂棕耳	比格犬、三色、垂耳、温顺、狗
狗狗	dog_shiba	柴犬	柴犬	Q版柴犬幼犬，姜黄色皮毛奶白裹白花纹，大三角尖耳粉色内耳，卷曲白尾尖，棕色大眼	柴犬、棕黄色、卷尾、微笑、狗
狗狗	dog_husky	哈士奇	哈士奇	Q版哈士奇幼犬，面具脸黑白分明，大蓝眼睛，白色眉毛斑点，深炭黑色背部，粉色内耳	哈士奇、灰白、蓝色眼睛、面罩花纹、狗
狗狗	dog_golden	金毛	金毛	Q版金毛幼犬，均匀浅金色皮毛，下垂金色圆耳，深棕色大眼甜美微笑，蓬松尾巴	金毛、金色、垂耳、温柔、狗
狗狗	dog_dachshund	腊肠犬	腊肠犬	Q版腊肠犬幼犬，黑包金花纹，棕色眉点口鼻四肢，圆润长条身体短粗腿，下垂黑耳	腊肠犬、深棕色、短腿、长身体、狗
狗狗	dog_bee	蜜蜂狗	蜜蜂狗	Q版蜜蜂狗幼犬，纯黑身体棕色对称花纹，棕色眉点口鼻爪子，深棕色大眼，紧凑圆身	蜜蜂狗、深棕黑色、蝴蝶结、棕黄色眉点、狗
狗狗	dog_samoyed	萨摩耶	萨摩耶	Q版萨摩耶幼犬，纯白色软泥质感，圆头黑豆眼，棕色小三角鼻，圆润胖乎乎身体，螺旋卷尾	萨摩耶、纯白色、蓬松、微笑、狗
狗狗	dog_poodle	泰迪	泰迪	Q版泰迪幼犬，焦糖棕色卷曲皮毛，纯黑豆豆眼，深棕鼻子，圆润脸部，下垂圆耳	泰迪、贵宾犬、深棕色、卷毛、狗
狗狗	dog_merle_collie	陨石边牧	陨石边牧	Q版陨石边牧幼犬，蓝陨石色大理石纹路，白底灰黑斑块，亮蓝色眼睛，尖耳白尾尖	陨石边牧、边境牧羊犬、蓝灰色、斑块、蓝色眼睛、狗
